City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,port hardy,50.6996,-127.4199,266.0,69,5,3.22,CA,1669910734
65,port alfred,-33.5906,26.891,293.25,90,48,1.34,ZA,1669910734
66,sumbe,-11.2061,13.8437,299.5,80,99,4.07,AO,1669910734
67,sorland,67.667,12.6934,278.07,73,33,2.73,NO,1669910606
68,lavrentiya,65.5833,-171.0,269.84,91,100,4.48,RU,1669910735
69,hasaki,35.7333,140.8333,280.53,81,100,5.15,JP,1669910735
70,busselton,-33.65,115.3333,285.36,92,0,3.91,AU,1669910735
71,camapua,-19.5314,-54.0439,307.22,31,96,4.84,BR,1669910735
72,luderitz,-26.6481,15.1594,294.14,66,18,10.79,NA,1669910735
73,hithadhoo,-0.6,73.0833,300.73,63,47,2.0,MV,1669910698
74,morondava,-20.2833,44.2833,300.54,73,72,5.47,MG,1669910736
75,fuzhou,26.0614,119.3061,284.41,91,100,1.53,CN,1669910736
76,san-pedro,4.7485,-6.6363,301.36,69,98,3.6,CI,1669910736
77,san patricio,28.017,-97.5169,286.43,67,6,4.43,US,1669910736
78,macroom,51.9,-8.95,282.19,85,93,4.6,IE,1669910736
79,tiznit,29.5833,-9.5,288.86,53,29,4.62,MA,1669910736
80,aljezur,37.3191,-8.8033,288.71,75,84,3.71,PT,1669910736
81,mar del plata,-38.0023,-57.5575,293.05,81,75,8.23,AR,1669910737
82,naze,28.3667,129.4833,287.87,73,100,7.93,JP,1669910520
83,balogo,10.8868,124.7105,298.58,90,100,2.78,PH,1669910737
84,sao francisco do sul,-26.2433,-48.6381,299.75,79,61,2.32,BR,1669910737
85,surgut,61.25,73.4167,250.25,77,0,0.0,RU,1669910566
86,trairi,-3.2778,-39.2689,304.09,52,55,6.24,BR,1669910737
87,saskylakh,71.9167,114.0833,242.01,99,100,2.23,RU,1669910737
88,hilo,19.7297,-155.09,295.51,92,100,4.63,US,1669910492
89,oriximina,-1.7656,-55.8661,304.12,61,100,0.6,BR,1669910738
90,fairhope,30.523,-87.9033,285.43,43,0,6.17,US,1669910738
91,iqaluit,63.7506,-68.5145,258.0,77,100,5.66,CA,1669910738
92,port hedland,-20.3167,118.5667,299.18,83,1,4.12,AU,1669910738
93,narsaq,60.9167,-46.05,271.27,87,19,2.36,GL,1669910738
94,ribeira grande,38.5167,-28.7,291.37,77,75,10.28,PT,1669910738
95,sindor,62.8629,51.8905,255.49,99,76,1.59,RU,1669910738
96,bandarbeyla,9.4942,50.8122,299.3,83,73,9.1,SO,1669910739
97,acapulco,16.8634,-99.8901,301.05,65,0,2.06,MX,1669910739
98,kavieng,-2.5744,150.7967,300.75,74,85,1.62,PG,1669910739
99,batagay,67.6333,134.6333,242.0,98,100,1.38,RU,1669910739
100,opuwo,-18.0607,13.84,308.79,15,66,4.93,NA,1669910739
101,khatanga,71.9667,102.5,261.9,92,100,6.44,RU,1669910739
102,srandakan,-7.9386,110.2506,298.35,78,100,0.94,ID,1669910621
103,batesville,35.7698,-91.641,276.95,47,0,5.14,US,1669910740
104,sept-iles,50.2001,-66.3821,274.29,74,63,5.81,CA,1669910740
105,sao filipe,14.8961,-24.4956,297.7,64,50,5.39,CV,1669910740
106,launceston,-41.45,147.1667,284.71,93,100,0.0,AU,1669910740
107,tessalit,20.1986,1.0114,301.47,13,99,2.28,ML,1669910740
108,san antonio,29.4241,-98.4936,283.17,53,100,5.14,US,1669910464
109,kloulklubed,7.0419,134.2556,298.43,70,82,7.06,PW,1669910740
110,santa cruz de la palma,28.6835,-17.7642,296.23,64,20,2.06,ES,1669910473
111,georgetown,5.4112,100.3354,300.31,83,20,3.6,MY,1669910740
112,karaton,-6.3424,106.1045,296.74,90,92,2.93,ID,1669910741
113,bredasdorp,-34.5322,20.0403,295.74,59,54,6.91,ZA,1669910741
114,thinadhoo,0.5333,72.9333,300.55,67,92,2.12,MV,1669910741
115,bluff,-46.6,168.3333,283.6,62,47,9.13,NZ,1669910600
116,rocky mountain house,52.3668,-114.9188,251.17,93,100,1.29,CA,1669910741
117,barra patuca,15.8,-84.2833,300.35,81,17,5.6,HN,1669910741
118,mapiri,-15.25,-68.1667,305.59,42,7,1.8,BO,1669910742
119,borogontsy,62.6683,131.1683,240.15,98,100,0.26,RU,1669910742
120,butaritari,3.0707,172.7902,299.75,81,22,5.31,KI,1669910742
